abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
CLEMSON,acc,2,0.75,6,22.5,20.2,1.3,1.6,0.9,0.6,14,0.9,1.0,4,Clemson,37.5,29.8,59.2,58.3,22.2,17.4,13.0,9.2,2.4,1.9,282.3,217.5,4.4,5.6,75.4,70.4,29.3,33.6,37.9,40.6,8.2,9.4,1.6,1.5,158.5,176.9,4.2,4.4,6.54,1.18,1.7,1.6,0.714,10,440.8,394.4,40.1,50.1,5.8,5.6,2011,22.0
FLORIDA-STATE,acc,3,0.625,5,18.9,15.8,1.5,1.8,0.5,0.5,13,0.9,1.2,4,Florida State,29.5,30.8,64.5,59.1,19.0,18.2,10.3,8.5,1.9,1.2,257.0,192.3,7.9,5.8,63.1,66.1,15.1,30.6,33.6,35.2,7.1,5.5,1.5,0.6,112.2,82.7,3.3,2.3,11.22,0.38,1.5,1.8,0.692,9,369.2,275.0,67.3,47.5,5.9,4.2,2011,23.0
WAKE-FOREST,acc,3,0.625,5,20.2,19.8,1.2,1.7,0.3,0.6,13,0.6,1.0,7,Wake Forest,35.2,34.2,60.8,57.2,21.4,19.5,11.2,9.2,1.7,1.7,253.2,227.9,4.8,5.4,70.8,71.2,27.4,26.0,35.7,37.0,7.8,8.9,1.4,1.6,114.6,169.8,3.2,4.6,-0.66,1.11,0.9,1.6,0.462,6,367.8,397.8,43.5,46.2,5.2,5.6,2011,
NORTH-CAROLINA-STATE,acc,4,0.5,4,18.4,17.7,1.7,0.8,1.0,0.9,13,0.9,2.1,5,North Carolina State,35.8,31.3,62.4,57.5,22.4,18.0,10.8,9.6,2.5,1.3,240.0,223.7,4.6,5.0,70.3,66.5,24.7,28.2,34.5,35.2,5.9,7.2,0.8,1.4,104.8,131.2,3.0,3.7,2.57,-1.97,1.9,3.0,0.615,8,344.8,354.9,33.8,46.8,4.9,5.3,2011,
BOSTON-COLLEGE,acc,5,0.375,3,15.9,19.7,0.9,0.9,0.8,0.3,12,0.8,1.1,8,Boston College,27.0,35.0,53.4,63.1,14.4,22.1,8.6,11.2,1.0,0.7,167.8,243.3,4.2,4.7,63.4,70.4,23.5,18.2,36.4,35.4,6.4,7.6,1.0,1.8,130.9,151.1,3.6,4.3,-4.61,0.89,1.7,1.3,0.333,4,298.8,394.3,34.5,38.5,4.7,5.6,2011,
MARYLAND,acc,7,0.125,1,20.3,23.9,1.2,1.4,0.6,1.3,12,1.3,0.9,10,Maryland,36.2,31.1,53.7,65.7,19.4,20.4,10.2,10.7,1.2,1.5,210.3,237.4,4.1,5.3,71.3,78.1,34.3,23.1,35.1,47.0,8.9,11.8,1.3,2.6,169.3,219.8,4.8,4.7,-8.22,2.62,1.9,2.3,0.167,2,379.7,457.2,36.2,45.6,5.3,5.9,2011,
VIRGINIA-TECH,acc,1,0.875,7,21.1,15.8,1.2,1.6,0.6,0.5,14,0.7,1.1,3,Virginia Tech,28.9,29.5,60.0,49.9,17.4,14.7,9.5,8.1,1.5,1.1,226.1,200.6,5.9,3.9,71.1,61.8,17.6,27.9,42.1,32.3,10.4,6.1,1.9,1.1,186.9,104.1,4.4,3.2,8.21,0.21,1.3,1.6,0.786,11,413.0,304.6,53.2,34.1,5.8,4.9,2011,21.0
GEORGIA-TECH,acc,3,0.625,5,20.4,18.4,0.8,0.8,0.8,0.5,13,0.6,1.1,5,Georgia Tech,12.8,29.7,49.1,56.0,6.3,16.6,4.2,9.1,0.8,1.8,142.3,197.8,4.5,4.2,68.1,65.4,26.1,34.3,55.2,35.7,15.4,8.5,3.5,1.5,316.5,161.5,5.7,4.5,3.4,-1.29,1.5,1.6,0.615,8,458.8,359.3,36.9,28.0,6.7,5.5,2011,
VIRGINIA,acc,3,0.625,5,20.9,17.3,1.0,1.5,0.9,0.7,13,1.2,0.9,5,Virginia,34.1,31.4,57.6,53.7,19.6,16.8,11.5,8.7,1.3,1.5,237.7,212.2,5.3,5.2,72.2,66.8,23.8,23.2,38.2,35.4,8.5,7.1,1.4,1.2,162.1,139.5,4.2,3.9,0.14,-0.79,2.2,1.6,0.615,8,399.8,351.7,42.3,48.8,5.5,5.3,2011,
NORTH-CAROLINA,acc,5,0.375,3,19.2,19.9,1.1,1.5,0.9,0.8,13,1.1,1.1,6,North Carolina,28.5,35.0,67.1,60.9,19.2,21.3,10.9,10.8,2.0,1.8,254.4,241.3,5.4,5.2,62.5,69.8,24.8,28.0,34.0,34.8,7.2,7.5,1.7,0.9,138.8,123.9,4.1,3.6,3.63,1.17,2.0,1.8,0.538,7,393.2,365.2,47.9,40.3,6.3,5.2,2011,
